instance,source,n_vars,n_cons,solver,obj_nominal,solve_time,converged,S,feasibility_rate,infeasibility_rate,mean_obj,std_obj,mean_violation,max_violation,n_test
test,NETLIB,7,6,FuzzyPD-LP,-5.047483476459261,3.040580498985946,True,BS(γ=4.5)+AdvSAA(100)+Combo,1.0,0.0,-5.055609358410855,0.5293224318532819,0.0,0.0,400
test,NETLIB,7,6,TSAR-BS-only,-5.047483476459261,0.7743560191011056,True,BS-only(γ=4.5),1.0,0.0,-5.055609358410855,0.5293224318532819,0.0,0.0,400
test,NETLIB,7,6,TSAR-Adv-only,-6.5082211207870095,0.579094356042333,True,AdvSAA-only(S=100),1.0,0.0,-6.514098976569417,0.5780261828175087,0.0,0.0,400
test,NETLIB,7,6,TSAR-No-calib,-6.898624219098965,0.1167704031104222,True,No-calibration(fixed γ=2.0),1.0,0.0,-6.903857865053538,0.591186161201443,0.0,0.0,400
avgas,NETLIB,8,10,Nominal-LP,-7.750000000000001,0.04917689808644354,True,deterministic (mean only),0.0325,0.9675,-7.752774648184443,0.20274654923248558,0.10465542368262824,0.3316775708938544,400
avgas,NETLIB,8,10,HiGHS-SAA,-6.425487935861431,0.29579420608934015,True,100,0.945,0.05500000000000005,-6.419855726567809,0.16934005290397852,0.0009269488672085807,0.051577603160768336,400
avgas,NETLIB,8,10,OR-Tools GLOP-SAA,-6.425487936864193,1.4182283419650048,True,100,0.945,0.05500000000000005,-6.419855727581139,0.16934005295325566,0.0009269488700110711,0.05157760319554996,400
avgas,NETLIB,8,10,OR-Tools PDLP-SAA,-6.425488189058214,1.0388894430361688,True,100,0.945,0.05500000000000005,-6.419855938947213,0.16934006532968038,0.0009269438508120007,0.05157733795925213,400
avgas,NETLIB,8,10,Bertsimas-Sim(γ=3.0),-4.358180510836958,0.03384403605014086,True,parametric robust (γ=3.0),1.0,0.0,-5.286469748867294,0.14243162608984858,0.0,0.0,400
avgas,NETLIB,8,10,CVaR-LP(α=0.95),-6.4175140929961225,0.2780596090015024,True,100,0.945,0.05500000000000005,-6.419855726567678,0.16934005290397702,0.0009269488672084126,0.05157760316077,400
avgas,NETLIB,8,10,FuzzyPD-LP,-4.0847127613802385,3.355459197075106,True,BS(γ=5.0)+AdvSAA(100)+Combo,1.0,0.0,-4.086832939989447,0.11419753824405211,0.0,0.0,400
avgas,NETLIB,8,10,TSAR-BS-only,-4.0847127613802385,1.5066855089971796,True,BS-only(γ=5.0),1.0,0.0,-4.086832939989447,0.11419753824405211,0.0,0.0,400
avgas,NETLIB,8,10,TSAR-Adv-only,-5.622793665145557,0.8315103219356388,True,AdvSAA-only(S=100),1.0,0.0,-5.6252817841216824,0.15028774677206377,0.0,0.0,400
avgas,NETLIB,8,10,TSAR-No-calib,-6.001661752954465,0.27099058998283,True,No-calibration(fixed γ=2.0),0.9975,0.0024999999999999467,-6.004207491426473,0.15938047125528454,1.8264764518939604e-05,0.007305905807575841,400
2894,NETLIB,5,15,Nominal-LP,nan,0.044060476939193904,False,deterministic (mean only),0.0,1.0,0.0,0.0,3.096329301746025,3.295421288407309,400
2894,NETLIB,5,15,HiGHS-SAA,nan,0.1298092360375449,False,100,0.0,1.0,0.0,0.0,3.096329301746025,3.295421288407309,400
2894,NETLIB,5,15,OR-Tools GLOP-SAA,nan,4.841895431978628,False,100,0.0,1.0,0.0,0.0,3.096329301746025,3.295421288407309,400
